id,titulo,fragmento_id,texto_fragmento,cluster,x,y
ep111,El Mito de Taiwán (y el cambio de perspectiva),1,"﻿ Bueno, hola, este oficialmente se volvió mi spot favorito en la Universidad Federal de Santa María. El episodio de esta semana quería que fuera un poquito más relajado y hace un buen tiempo no hago monólogos, yo creo que la mayor parte del tiempo voy a mirar el panorama, pero bueno, si están solo en Spotify, donde estoy grabando el podcast es una pista de atletismo, pero tiene, o sea... Tiene como muchas vibras a la universidad gringa, no sé por qué. Pero bueno, básicamente, estos días he estado haciendo muchas cuentas y pensando mucho en lo que es este intercambio. Y básicamente, caí en cuenta de que ya me falta solo un mes antes de volver a mi casa en Colombia. Y el día que me vaya va a cumplir. Nueve meses y unos cuantos días, pero en síntesis son nueve meses en los que viví en Brasil,",5,-2.384423,4.7791357
ep111,El Mito de Taiwán (y el cambio de perspectiva),2,"en los que estuve de intercambio acá en Santa María y bueno, haciendo muchas aventuras locas. Pero, básicamente, como que toda esta conversación surgió a partir de, pues, primero pensar en que me voy y todos los cambios que estar acá llegaron a mi vida gracias a eso. ¿Qué acabo de decir? ¿Todos los cambios? Bueno, básicamente todos los cambios que llegaron a mi vida desde que estoy acá. Y eso lo resumí. Pues obviamente los que no saben, los monologos yo los uso un poco para divagar y para soltar ideas que tengo en la cabeza y ver si tienen alguna relación lógica. Pero bueno, soy yo divagando y soltando ideas que tengo por ahí. Pero, algo... Una conclusión a la que yo llegué, y también respecto al cambio, es que cuando yo llegué acá, acababa de sacarme de una cotidianidad en la que me sentía muy cómodo, en",6,-4.0201397,4.0518312
ep111,El Mito de Taiwán (y el cambio de perspectiva),3,"la que realmente no necesitaba salir, no sentía como esa necesidad de salir. O sea, si yo no hubiera venido a Intercambios, estaría perfectamente en Colombia. haberme sacado de esa cotidianidad de forma tan abrupta, o sea, literalmente, estoy a 4 .000 kilómetros de Colombia y vine a un país donde no hablo mi idioma, donde yo no he hablado el idioma, donde no he hablado portugués y todo era desconocido. Y bueno, sacarme de esa cotidianidad fue realmente incómodo, porque a pesar de que yo estaba muy emocionado de que en brasil nunca me lo imaginé y al principio pensé que iba a ser sólo un semestre y bueno terminó siendo terminado siendo nueve meses dos semestres en total pero bueno nunca me lo imaginé y a pesar de que es espectacular al principio fue una mierda porque nada ha funcionado o sea no estaba acostumbrado a nada no",7,-4.665775,4.414743
ep111,El Mito de Taiwán (y el cambio de perspectiva),4,"conocía nada yo llegaba a las clases Maldito esparro. Realmente fue muy difícil y fue muy incómodo. Pero acá viene otra cara de la moneda, que obviamente esa situación difícil y esos momentos malucos como que me enseñaron muchas cosas y me permitieron tener unos procesos de introspección que en mi anterior cotidianidad no hubiese tenido. O probablemente sí, pero no hubiese llegado tan pronto. O no hubiese llegado a las conclusiones a las que llegué acá Se me olvidó lo que iba a decir Me puse a ver a los pajaritos y me distraje Ah, ya, ya volví a coger el punto Ya volví a coger el punto Fue muy incómodo, aprendí muchas cosas, pero justamente, y yo creo que esto más que todo lo pienso respecto al segundo semestre, que es este en el que estoy ahorita, cuando dejó de sentirse incómodo, cuando empecé a tener una cotidianidad",3,-3.7338834,4.4532833
ep111,El Mito de Taiwán (y el cambio de perspectiva),5,"acá, y digamos que ya me movía como pez en el agua, y ya hablaba más portugués, etc. Tuve el viaje a Sao Paulo al taller de los organizadores de TEDx de Brasil, y me fui solo, así que... fue como una aventura muy chévere pero cuando empezó a llegar eso y cuando me empecé a sentir así yo dije ok voy a disfrutar el tiempo que me queda y voy a hacer cosas chéveres que es lo que estoy haciendo en este momento pero como que de repente al principio del semestre como que ya me sentía cómodo Y parpadeé dos veces y estamos acá a un mes de que me vaya. Entonces fue como que, ¿por qué se pasó tan rápido el tiempo? ¿Qué sucedió? Entonces como que ahorita que estoy más cómodo, ahorita que realmente siento que puedo sacar mucho más provecho de estar acá, ya me",6,-4.0989037,5.782107
ep111,El Mito de Taiwán (y el cambio de perspectiva),6,"voy. Y es divertido porque estaba hablando con una persona muy especial. hola Wendy, antes de venir a grabar el episodio y yo le decía, marica ahorita voy a, en un mes voy a volver a Colombia a mi antigua cotidianidad pero, como yo ya no soy la misma persona, ya no es mi cotidianidad y si bien es cierto, me voy a adaptar de nuevo mucho más rápido igual me voy a tener que adaptar de nuevo o sea, como que van a ser muchos cambios respecto a A como era antes. Eso está bien. Pero me parece particular. Y básicamente. Adaptarse. Es importante. Y justo cuando uno se adapta. Muchas veces. Es hora de irse. Como en mi caso. Que ya me voy para Colombia. Obviamente. Pienso volver a Brasil. No sé cuándo ni en qué condiciones. Pero pienso volver a este país. Me encantó. Y bueno, a",3,-3.7095842,5.4091682
ep111,El Mito de Taiwán (y el cambio de perspectiva),7,"raíz de todo esto, de estos cambios, de sentirse incómodo, etc., por tener una nueva cotidianidad, me puse a pensar en, o sea, como realmente qué son los cambios en la vida, ¿no? Y esta pregunta puede sonar boba, pero... Cuando yo antes me imaginaba o escuchaba a alguien hablar sobre cambio, me imaginaba básicamente irse a la mierda, o sea, dar un giro de 180 grados en la vida que literal sea como hoy vivo en Colombia, mañana voy para, no sé, Taiwán. No sé nada del lugar, no sé qué voy a ir a hacer, pero me voy para Taiwán. Digamos que es un ejemplo muy extremo, pero más o menos así yo me imaginaba el cambio. Cuando alguien decía, voy a cambiar mi vida, me lo imaginaba así. Pero justamente una de las cosas que quiero hablar en este episodio es que yo me pongo a analizar",7,-4.47771,3.830571
ep111,El Mito de Taiwán (y el cambio de perspectiva),8,"el cambio en mi vida y realmente es como si nada hubiera cambiado, pero todo al mismo tiempo. ¿Y a qué me refiero con esto? Que de alguna u otra forma sigo haciendo las mismas cosas que hacía hace, no sé, cinco, incluso me atrevería a decir que diez años cuando era tan solo un niño. Porque no ha cambiado mucho, pero ya vamos a ver eso más a detalle. Pero las cosas siguen siendo las mismas, pero la diferencia ahora es que las veo desde una perspectiva diferente y ahí fue donde vino el cambio. ¿Y por qué digo que me atrevería a decir que sigo haciendo las mismas cosas que hace 10 años? Porque hay una situación muy particular y es que... Yo comencé a grabar videos y a publicar cosas en internet, en YouTube, en 2014. Cuando, como les decía, era tan solo un niño y hablaba",6,-3.6489124,4.0938544
ep111,El Mito de Taiwán (y el cambio de perspectiva),9,"así y nadie me prestaba atención. Porque precisamente hablaba así y subía puras huevonadas con mis amigos. Pero era muy divertido. Y de algún otro modo eso también me trajo a aquí, ¿no? A estar haciendo lo que estoy haciendo. Con los años las cosas fueron evolucionando. Algunas veces eran canales de YouTube, otras veces eran, digamos, unos proyectos un poco más elaborados, pero con el tiempo se han vuelto... No quiero usar la palabra serios, porque no me gusta, pero... Pero sí, han sido como más estructurados. O sea, pasé de subir weonadas y videos tontos con mis amigos, que aún lo hago en un canal clandestino. a hacer este podcast y hablar con gente genial, a veces hacer monólogos, compartir ideas, etc. Pero bueno, si lo miramos, en mi caso serían 10 años intentando hacer la misma vaina que es el canal de YouTube, 3 años haciendo el",5,-2.345949,4.0131564
ep111,El Mito de Taiwán (y el cambio de perspectiva),10,"mismo evento que son los TEDx, que ahí hay un punto importantísimo que quiero resaltar, y 5 años haciendo el mismo podcast. Pero también acá hay otra cosa muy importante, es que cuando yo empecé el podcast, digamos que tenía una idea muy distinta a lo que era este mundo. Yo creo que ni en mis mejores sueños me hubiese imaginado que el podcast me ayudara en tantas cosas. No solo a nivel de... Comprometerme con mis proyectos, porque yo creo que ha sido el proyecto que más he mantenido a lo largo de los años. Sino también en darme, no solo una, miles de perspectivas de vida. Bueno, todavía miles, no, cientos por lo menos. Cientos de perspectivas de vida distintas. Y poder compartirlo con jóvenes como yo para que... tengan esa misma experiencia, que vivan la misma experiencia que yo vivo cuando hablo con estas personas en el",5,-1.4036179,4.393213
